# Wilo-Varios PICO-STG 25/1-8 Kennliniendaten (WebPlotDigitizer Export)
# Modus: iPWM GT (Heizung: 5% = n_max / Vollast, 85% = n_min / Teillast)
# Q = Volumenstrom in [m³/h] (X-Achse)
# H = Förderhöhe in [m] (Y-Achse für Spalten 5..85)
# P = Leistungsaufnahme P1 in [W] (Y-Achse für Spalten 5p..85p)
#
5_Q_m3h,5_H_m,15_Q_m3h,15_H_m,25_Q_m3h,25_H_m,35_Q_m3h,35_H_m,45_Q_m3h,45_H_m,55_Q_m3h,55_H_m,65_Q_m3h,65_H_m,75_Q_m3h,75_H_m,85_Q_m3h,85_H_m,5p_Q_m3h,5p_P_W,15p_Q_m3h,15p_P_W,25p_Q_m3h,25p_P_W,35p_Q_m3h,35p_P_W,45p_Q_m3h,45p_P_W,55p_Q_m3h,55p_P_W,65p_Q_m3h,65p_P_W,75p_Q_m3h,75p_P_W,85p_Q_m3h,85p_P_W
-0.002498750624687629,8.316146540027136,-0.002498750624687629,6.569877883310718,0.002498750624687629,4.994572591587516,0,3.6757123473541373,-0.002498750624687629,2.5400271370420615,-0.0049975012493753135,1.6119402985074611,-0.002498750624687629,0.9402985074626873,-0.002498750624687629,0.41519674355495084,0,0.17096336499321474,0.0037681249864334188,40.760869565217405,0.0034289598211378336,29.891304347826093,0.0031644109922073227,21.413043478260875,-0.0020315993401202603,14.891304347826122,0.0028150708719529294,10.217391304347814,0.0027133213223642927,6.956521739130437,0.002635313334346301,4.456521739130466,0.002594613514510846,3.152173913043498,0.0000780079880179918,2.5000000000000284
0.39980009995002497,8.37720488466757,0.19240379810094954,6.594301221166892,0.1974012993503248,5.05563093622795,0.19490254872563717,3.712347354138398,0.19240379810094954,2.576662143826322,0.19490254872563717,1.6485753052917218,0.19240379810094954,0.9036635006784266,0.19490254872563717,0.40298507462686395,0.19490254872563717,0.17096336499321474,0.20111137641364046,45.217391304347814,0.20076881959669196,34.23913043478262,0.20047374590288486,24.782608695652186,0.20024989689378986,17.608695652173935,0.20007692265948912,12.065217391304344,0.1974551759317546,8.043478260869591,0.19736699298877775,5.217391304347814,0.1973025516073716,3.152173913043498,0.19728220169745386,2.5000000000000284
0.5972013993003497,8.426051560379918,0.3973013493253372,6.6065128900949786,0.39980009995002497,5.080054274084123,0.39980009995002497,3.712347354138398,0.39980009995002497,2.576662143826322,0.39980009995002497,1.624151967435548,0.39980009995002497,0.9036635006784266,0.3973013493253372,0.40298507462686395,0.39980009995002497,0.19538670284938853,0.4060214026785908,52.173913043478265,0.4031045822570492,38.69565217391306,0.40278237535001843,28.36956521739131,0.40752051270919715,20.217391304347842,0.40232789402852237,13.804347826086968,0.4021854446590983,9.239130434782624,0.4020769118062037,5.760869565217405,0.4045019427380668,3.478260869565247,0.39947890664004,2.5000000000000284
0.7996001999000497,8.426051560379918,0.594702648675662,6.6065128900949786,0.594702648675662,5.031207598371776,0.594702648675662,3.6757123473541373,0.594702648675662,2.5400271370420615,0.5972013993003497,1.5997286295793742,0.5922038980509744,0.8670284938941659,0.594702648675662,0.36635006784260504,0.594702648675662,0.15875169606512785,0.600929448218976,58.586956521739125,0.6004478336842562,43.15217391304347,0.5975988462957738,31.84782608695653,0.5998034198701947,22.5,0.5995829625127527,15.434782608695656,0.6019198105016388,10.326086956521749,0.5993014554255574,6.4130434782608745,0.6017163114024615,3.804347826086996,0.5991895309210098,2.826086956521749
0.9970014992503748,8.242876526458614,0.7996001999000497,6.569877883310718,0.8020989505247376,5.0067842605156025,0.7996001999000497,3.6512890094979635,0.7971014492753621,2.491180461329714,0.7996001999000497,1.5386702849389398,0.7996001999000497,0.8181818181818183,0.7996001999000497,0.3052917232021706,0.7996001999000497,0.08548168249660648,0.8008164383858996,64.56521739130434,0.8052934185678005,48.04347826086956,0.8048965953244047,35.32608695652175,0.8045811717206799,25.217391304347842,0.8068230534632832,17.065217391304344,0.8041402570057956,11.086956521739125,0.8040079825913304,6.84782608695653,0.8039197996483536,4.02173913043481,0.803882491480171,2.826086956521749
1.1994002998500748,7.937584803256444,0.9970014992503748,6.545454545454544,0.994502748625687,4.933514246947081,0.9970014992503748,3.59023066485753,0.9970014992503748,2.4301221166892795,1.1994002998500748,1.3921302578018988,0.994502748625687,0.7571234735413821,0.994502748625687,0.2320217096336492,,,1.0031555926979099,69.13043478260869,1.0001505893333913,52.826086956521735,1.0021991469317764,38.47826086956522,1.0018531984631749,27.391304347826093,1.0015784746792855,18.586956521739154,0.9988753283118801,11.956521739130437,1.001225742907378,7.282608695652186,0.9986345210445202,4.2391304347826235,,
1.3993003498250873,7.546811397557665,1.1994002998500748,6.459972862957937,1.2018990504747624,4.860244233378561,1.1994002998500748,3.492537313432835,1.1994002998500748,2.344640434192671,1.3993003498250873,1.3066485753052905,1.1994002998500748,0.6594301221166887,1.0644677661169413,0.17096336499321474,,,1.2079503028066596,72.3913043478261,1.2074890381818577,57.60869565217391,1.2045009930756039,41.84782608695653,1.2066139920553953,29.565217391304344,1.2013264071284377,20.108695652173935,1.206095069352493,12.934782608695656,1.203439406108229,7.826086956521749,1.1109626321387482,4.130434782608717,,
1.5942028985507246,7.119402985074625,1.3993003498250873,6.3744911804613285,1.3993003498250873,4.774762550881953,1.3993003498250873,3.3948439620081396,1.3993003498250873,2.2591587516960647,1.7991004497751122,1.0502035278154676,1.3993003498250873,0.5617367706919936,,,,,1.4052155462458487,74.34782608695652,1.4073251535739868,61.95652173913044,1.4018069363346286,45.10869565217391,1.4013863715296622,31.630434782608717,1.4010607729709783,21.195652173913032,1.4008233573552715,13.586956521739154,1.4031466387375457,8.043478260869591,,,,
1.7991004497751122,6.6065128900949786,1.5942028985507246,6.2523744911804595,1.5942028985507246,4.664857530529171,1.5942028985507246,3.3093622795115323,1.5942028985507246,2.1492537313432827,1.9965017491254369,0.9036635006784266,1.5942028985507246,0.43962008141112463,,,,,1.5999438342486272,75,1.5996487605548202,65.54347826086956,1.5990959213353884,47.82608695652175,1.5986516149688512,33.586956521739154,1.5983056665002497,22.5,1.5980479009746251,14.239130434782624,1.5978545768304067,8.043478260869591,,,,
1.9940029985007495,6.105834464043418,1.7991004497751122,6.105834464043418,1.7966016991504243,4.554952510176389,1.7991004497751122,3.1750339213025773,1.7991004497751122,2.0027137042062417,2.1989005497251366,0.7449118046132952,1.6491754122938531,0.36635006784260504,,,,,1.804633403156135,74.8913043478261,1.8044468623152228,68.91304347826086,1.8038838481408321,50.86956521739131,1.8059018808743406,35.54347826086956,1.7980502072977491,23.913043478260875,1.8002581725238227,14.67391304347828,1.685220131758883,7.934782608695656,,,,
